"code","country","region_noHICgroup","obs","CAT","1-BETA","MIX","C1P1","C2P1","C3P1","C4P1","C5P1","C1P2","C2P2","C3P2","C4P2","C5P2","C1P3","C2P3","C3P3","C4P3","C5P3","C1P4","C2P4","C3P4","C4P4","C5P4","C1P5","C2P5","C3P5","C4P5","C5P5","index","group"
"ISR","Israel","Middle East & North Africa",1486,0.60545146,0.80023041,0.61079788,0.00439558511024689,0.00839360259683172,0.00900082839698568,0.0377942891741222,0.0104535937607522,0,0.00662031552606507,0.0113506581548821,0.0545727627588163,0.0174119669095721,0,0,0.00455800998419228,0.0587071751167318,0.0223484585875075,0,0.00243770687344275,0.0112470517422545,0.196209843624577,0.115957644827055,0,0.00092124429085425,0.00266235732478595,0.160149997172243,0.264806922641306,0.219821372979803,"Part 1"
"HTI","Haiti","Latin America & Caribbean",444,0.63213509,0.41456193,0.63186705,0.23604909442202,0.0488336321321192,0.268216418354183,0.0198207089717166,0.0524162086266832,0.0184928240065856,0.017208299017966,0.0665459806926488,0.0210347750492208,0.0186716812335788,0.00641720543938011,0.0172950181714111,0.0565136836791063,0.0409855619860905,0.0789251211242852,0,0.0015717815516368,0.0059456703884694,0.00185361827439108,0.00548497563694226,0,0,0.00201079661334601,0.00477496445120447,0.0109320124669827,0.235133195688191,"Part 1"
"YEM","Yemen","Middle East & North Africa",2774,0.67557317,0.69961673,0.67115188,0.178945496047332,0.0605665471225565,0.164915759656185,0.134488639832934,0.101008909661889,0.0131794083866891,0.00503136133606527,0.0260605311966711,0.0258038607518729,0.0175208902922582,0.0129708983035856,0.00908309984222466,0.0225705547844392,0.0323517318945954,0.0251398530307162,0.00519725277947869,0.00261341250629137,0.0160570451008213,0.0345039048222869,0.0371684602178813,0.000376587925883994,0.00179130731493255,0.00505768857047961,0.0214700723473258,0.0461266961881803,0.239717570007933,"Part 1"
"JPN","Japan","East Asia & Pacific",380,0.54768533,0.71357185,0.62959707,0,0,0,0,0,0,0,0,0,0,0,0,0.00234160026243998,0.0256352620539557,0.0105176507229562,0,0,0.0150792426385176,0.221248123381116,0.252839444742036,0,0,0,0.131734000351257,0.340604723818904,0.245792542168117,"Part 1"
"COL","Colombia","Latin America & Caribbean",8478,0.72436488,0.53208384,0.73742723,0.05652510242202,0.087355145778495,0.022233936476973,0.08794859371746,0.03374071815141,0.0112024602619147,0.0510606234323086,0.0172595976820733,0.112477949946333,0.0782656251639086,0.00223328038928106,0.0144763971955302,0.00927844273745088,0.0533675052035244,0.0466237953560694,0.0026297982531456,0.0102336314754319,0.00868999328530659,0.0726591932835492,0.0887863946175618,0.0002668308058532,0.0028830217587852,0.0015418178273724,0.018892154297486,0.109367974778696,0.245921204634851,"Part 1"
"JOR","Jordan","Middle East & North Africa",4045,0.69478053,0.7544513,0.70231688,0.0207801666810736,0.00010443713728419,0.0982019713360875,0.0547913442786726,0.0320917748922456,0.00871664544690121,0,0.104263496744854,0.0539245718491377,0.0384989173969328,0.00395324930523492,0.00027675186653124,0.0802037505183804,0.0585108446480712,0.0506882405636568,0.00202473615416202,0.00012749743424977,0.0746484963572738,0.0729335131254197,0.109112785116965,0.00017034648023157,0,0.0177579116136648,0.0160900682627175,0.102128479150541,0.251726158387841,"Part 1"
"BLR","Belarus","Europe & Central Asia",458,0.433842,0.68276411,0.56803203,0,0,0,0.005451349977209,0.0030752297669936,0,0,0,0.00545135031012276,0.0139779306898772,0,0,0,0.0315760515451501,0.00893445867016521,0,0.00080056842231438,0.0058301138875086,0.303943007575483,0.169523571554986,0,0.00053391514910811,0.00307523014751337,0.117785152626349,0.330042073882775,0.253104747845293,"Part 1"
"SWE","Sweden","Europe & Central Asia",769,0.58806908,0.6445215,0.66286582,0.00756516039433864,0.00124082484194545,0.0040713787962986,0.00433512430063988,0.000902547684892464,0,0,0.00169137379722328,0.0134869336649338,0.0067276391293035,0,0.00124082490128178,0.00995012254271611,0.0481230216324652,0.0225034715144497,0,0.00206747645133372,0.00423555023398239,0.169524708127972,0.174703939743623,0,0.00203534873435221,0.00561961785746871,0.134895403469937,0.3850795515461,0.254820213834998,"Part 1"
"PRY","Paraguay","Latin America & Caribbean",2108,0.59421015,0.59376276,0.58748132,0.262793153003891,0.0801462593978788,0.0741352805399458,0.247245732279615,0.0322049147786702,0.00439750378316094,0.0177477669233436,0.0326270738051292,0.0475247156331666,0.0080016013993809,0.00110771789731872,0.00135434732071848,0.00640236915248736,0.0200787401904038,0.003846248619336,0.00666779103279689,0.00285686837840661,0.0117563237291673,0.0803738525444565,0.0332699768787441,0.000394803193510024,0.000738734832985968,0.000369367416492984,0.0155580736773207,0.00840076918523128,0.257230703682666,"Part 1"
"ITA","Italy","Europe & Central Asia",332,0.5697161,0.66891029,0.60276604,0,0,0.004012328,0,0,0,0,0.0251274024599269,0.0279130370320504,0.0202325485080227,0,0,0.0822469074439204,0.18743934740479,0.0555473753942808,0,0,0.0264062852938915,0.238035463568336,0.138759980331369,0,0,0,0.050545305492225,0.143733994507775,0.258445574111625,"Part 1"
