"code","country","region_noHICgroup","obs","CAT","1-BETA","MIX","C1P1","C2P1","C3P1","C4P1","C5P1","C1P2","C2P2","C3P2","C4P2","C5P2","C1P3","C2P3","C3P3","C4P3","C5P3","C1P4","C2P4","C3P4","C4P4","C5P4","C1P5","C2P5","C3P5","C4P5","C5P5","index","group"
"BLR","Belarus","Europe & Central Asia",458,0.433842,0.68276411,0.56803203,-0.0292003082175514,-0.0868449148785303,-0.0112802273738033,0.0720334002098196,0.0542716471759693,0,-0.0440786581011718,-0.129889325006316,0.053108296302339,0.104605082761654,0,0,-0.0636478664214285,0.0181378765339145,-0.0103609977258407,0,0.0282943178450087,0.0763551824535087,0.332199046013586,-0.245601252155305,0,0.0231066040150454,0.0554547576634627,0.343198415827272,0,0.253104747845293,"Part 1"
"SWE","Sweden","Europe & Central Asia",769,0.58806908,0.6445215,0.66286582,0.0444161683200217,-0.0912195735506848,0.0466727097281589,0.061787719215806,0.0277654348446695,0,-0.0468037883082128,-0.094384447582309,0.0840723284554247,0.0640143727224759,0,0.0352253445871261,0.00929730709579721,-0.017223634735954,0.0171231295930009,0,0.0454695112282254,0.0650811050457995,0.224508872876697,-0.143698726815582,0,0.0451148394029305,0.0749641104627322,0.367281095987715,0,0.254820213834998,"Part 1"
"PRY","Paraguay","Latin America & Caribbean",2108,0.59421015,0.59376276,0.58748132,0.248715881315309,-0.472056745070796,0.0377855577722163,0.459198992684743,0.166201735297894,0.0663136771952886,0.0281975762213894,-0.129891348231445,0.167629246482923,0.0718983308896205,0.0332823962075858,0.0368014581330479,0.0227527555727813,-0.0205194885442921,0.00548946042107019,0.0816565431107446,0.0534496808073407,0.10842658220735,0.167345687087571,-0.166070823253089,0.0198696550928803,0.0271796768374086,0.0192189338021906,0.124732007429211,0,0.257230703682666,"Part 1"
"ITA","Italy","Europe & Central Asia",332,0.5697161,0.66891029,0.60276604,-0.0200307962897135,-0.058203879133521,0.0501969121553782,-0.00609234463388784,-0.00367000715396911,0,-0.085599642522618,-0.0673454535328218,0.0623994672056091,0.0791868237178249,0,0,0.106444864110622,-0.0304935104128212,-0.0434874257069577,0,0,0.162500108596553,0.287089944818043,-0.229891504321535,0,0,0,0.224822831341092,0,0.258445574111625,"Part 1"
"VNM","Vietnam","East Asia & Pacific",617,0.70278013,0.52572361,0.72142321,0.00638809502638252,-0.0956229426913191,0.0286854295190413,0.122053618992163,0.0749541859809863,0.0816234127951595,0.0417800529594045,-0.163001038784427,0.0608683584336399,0.15925541393912,0,0.143283758148527,0.0482987704226882,-0.101571339353564,0.0678022658672531,0,0.114023185945226,0.183045854942416,0.125808618064163,-0.109937802914938,0,0.0306141267425236,0.0405577598560226,0.155486951697585,0,0.259784864299913,"Part 1"
"MAR","Morocco","Middle East & North Africa",3804,0.61149389,0.50726336,0.61203462,0.218059209053991,-0.252625582928366,0.0344712913206043,0.146463898781421,0.227229417933331,0.209969709524065,0.105364718627952,-0.205131619755825,0.0672595167389042,0.181984045159555,0.0517991695441333,0.0884434050149407,0.0424308376266748,-0.118809320142014,0.103515732574776,0.0217976741172263,0.0391524896143622,0.0840723301758043,0.0486532479926983,-0.0516026276799002,0,0.028819304485459,0.0620155392518012,0.0618308020253502,0,0.26040735828461,"Part 1"
"MEX","Mexico","Latin America & Caribbean",7928,0.71451175,0.59613109,0.72160441,0.0334129824548163,-0.144884765819996,0.0795505265173428,0.0816618977475562,0.144732998545171,0.106707471012622,0.0554216286730371,-0.111502198121886,0.0387975900054368,0.146671394191926,0.100520268767329,0.14489520082681,0.117264028838881,-0.190898551756911,0.161293638980988,0.027125051751264,0.0802910253354498,0.122884772669307,0.044433178752493,-0.0752346487491857,0.00475694831099729,0.015380715609857,0.0899266474611234,0.154128460242839,0,0.270824895144591,"Part 1"
"NLD","Netherlands","Europe & Central Asia",727,0.72556674,0.75430785,0.70149225,0.0102452947192407,-0.0774690623040022,0.0731797306193081,-0.0083097751487409,0.03715083677311,0,0.00504234111475989,-0.0590378376832062,0.0457412365796098,0.0427386400120098,0,0.0927023754588968,0.0545649878970351,-0.124335645088425,0.143826031645626,0,0,0.151686399665211,0.11690102561704,-0.0947157158020246,0,0.0330168110233766,0.141487813392565,0.341782017262339,0,0.271299637898072,"Part 1"
"POL","Poland","Europe & Central Asia",1143,0.60316956,0.65303984,0.64474845,-0.010059155034097,-0.0299679290191592,0.0287698529764206,-0.00157428132209756,-0.000939542416020206,0,-0.0081155924376649,-0.0492934643003707,0.0445241845356897,0.0183335913378098,0,0,0.160037408017288,-0.0868240204643064,-0.0124963090389567,0,0,0.175454330273236,0.20338783062261,-0.146134590106624,0,0,0.0574489231386683,0.167192340539174,0,0.274730923732494,"Part 1"
"NOR","Norway","Europe & Central Asia",809,0.55219644,0.67378753,0.65764076,0.0173288902578688,-0.0522050193474157,0.0357309843528932,0.0311312495481661,0.0464532766391647,0,-0.0387185226990907,-0.0449898178843792,0.0121069026640481,0.0783955187265656,0,0,0.0361065885169881,-0.0713400654953515,0.0698186410390525,0.044112362955594,0,0.148061451464624,0.211233838003465,-0.15970063233409,0,0,0.163445306249685,0.348045224453572,0,0.27564278271819,"Part 1"
